Stimulus_Number,Filename
5460,1067_ITS_SAD_XX
2305,1029_IOM_DIS_XX
1031,1013_DFA_HAP_XX
1434,1018_ITH_NEU_XX
5461,1067_ITS_ANG_XX
1476,1019_IEO_FEA_HI
6791,1084_IEO_SAD_LO
3267,1041_IEO_SAD_MD
6481,1080_IOM_NEU_XX
3129,1039_IWW_ANG_XX
1431,1018_IWL_ANG_XX
4730,1058_TSI_FEA_XX
2460,1031_TIE_SAD_XX
6509,1080_IWL_FEA_XX
5264,1065_TAI_NEU_XX
272,1004_IOM_FEA_XX
4191,1052_IOM_DIS_XX
6766,1083_DFA_ANG_XX
3506,1043_WSI_FEA_XX
1107,1014_ITH_HAP_XX
3908,1048_TSI_SAD_XX
5982,1074_IEO_DIS_MD
2348,1029_TSI_NEU_XX
2356,1029_WSI_SAD_XX
3085,1038_ITS_DIS_XX
6148,1076_TIE_NEU_XX
444,1006_TAI_NEU_XX
708,1009_ITS_NEU_XX
6723,1083_TIE_SAD_XX
2238,1028_MTI_SAD_XX
5645,1070_IEO_SAD_MD
2021,1025_TSI_HAP_XX
3,1001_IEO_HAP_MD
2137,1027_IOM_HAP_XX
6643,1082_TIE_FEA_XX
2957,1037_IOM_HAP_XX
6714,1083_IEO_ANG_HI
5888,1073_IEO_HAP_MD
422,1006_IEO_FEA_HI
88,1002_IEO_SAD_MD
2066,1026_TAI_NEU_XX
3212,1040_IWW_FEA_XX
1419,1018_TAI_ANG_XX
2742,1034_ITH_SAD_XX
1937,1024_ITS_DIS_XX
4520,1056_IWW_NEU_XX
1702,1021_WSI_FEA_XX
6758,1083_ITH_HAP_XX
41,1001_MTI_NEU_XX
7375,1091_IEO_DIS_MD
199,1003_TAI_HAP_XX
4224,1052_DFA_SAD_XX
390,1005_DFA_FEA_XX
405,1005_WSI_HAP_XX
1113,1014_DFA_HAP_XX
2102,1026_TSI_NEU_XX
2941,1037_IEO_ANG_LO
2674,1033_ITS_FEA_XX
561,1007_ITS_DIS_XX
913,1012_IOM_HAP_XX
6485,1080_IOM_FEA_XX
3643,1045_ITH_HAP_XX
2962,1037_IWW_NEU_XX
4244,1052_WSI_FEA_XX
3855,1048_TIE_ANG_XX
6799,1084_IEO_FEA_HI
55,1001_ITH_SAD_XX
5789,1071_ITS_ANG_XX
7166,1088_IWL_DIS_XX
3028,1038_IEO_FEA_HI
6143,1076_IEO_FEA_MD
2763,1034_TSI_DIS_XX
6792,1084_IEO_SAD_MD
698,1009_ITH_SAD_XX
6982,1086_IWW_ANG_XX
4575,1057_IEO_HAP_LO
2217,1028_TIE_DIS_XX
1707,1022_IEO_HAP_HI
6246,1077_IWW_DIS_XX
4555,1056_DFA_DIS_XX
6119,1075_ITS_DIS_XX
4534,1056_MTI_SAD_XX
2842,1035_TSI_SAD_XX
5071,1063_IEO_SAD_MD
3829,1047_TSI_DIS_XX
3792,1047_TAI_FEA_XX
2107,1026_TSI_DIS_XX
1728,1022_IOM_SAD_XX
5046,1062_DFA_FEA_XX
4591,1057_TIE_HAP_XX
232,1003_ITS_FEA_XX
4117,1051_TAI_HAP_XX
2764,1034_WSI_NEU_XX
6166,1076_TAI_NEU_XX
3848,1048_IEO_FEA_HI
3810,1047_ITH_FEA_XX
6812,1084_IOM_ANG_XX
3396,1042_ITH_NEU_XX
6112,1075_DFA_FEA_XX
4275,1053_IWW_HAP_XX
2086,1026_ITH_SAD_XX
4832,1060_IEO_FEA_HI
7024,1086_TSI_ANG_XX
5204,1064_ITH_FEA_XX
7060,1087_IOM_DIS_XX
6396,1079_TIE_ANG_XX
6682,1082_DFA_HAP_XX
448,1006_TAI_FEA_XX
6351,1078_ITH_FEA_XX
2956,1037_IOM_NEU_XX
5521,1068_MTI_DIS_XX
5819,1072_IEO_DIS_HI
3597,1045_IEO_ANG_LO
3084,1038_ITS_FEA_XX
938,1012_IWL_SAD_XX
5532,1068_ITH_FEA_XX
4391,1054_DFA_DIS_XX
1494,1019_IWW_SAD_XX
3552,1044_MTI_FEA_XX
2597,1032_TSI_ANG_XX
5897,1073_IEO_FEA_MD
4744,1059_IEO_SAD_HI
3386,1042_MTI_SAD_XX
3227,1040_IWL_HAP_XX
5935,1073_IWL_ANG_XX
3427,1043_IEO_HAP_LO
2269,1028_TSI_ANG_XX
5455,1067_DFA_ANG_XX
2978,1037_MTI_FEA_XX
2128,1027_IEO_DIS_MD
4175,1052_IEO_FEA_MD
4851,1060_IWW_ANG_XX
5573,1069_IEO_DIS_HI
4978,1061_WSI_NEU_XX
3557,1044_IWL_ANG_XX
3391,1042_IWL_HAP_XX
2508,1031_ITS_SAD_XX
7021,1086_TSI_NEU_XX
6928,1085_DFA_HAP_XX
2080,1026_IWL_SAD_XX
921,1012_IWW_ANG_XX
6230,1077_TIE_HAP_XX
1696,1021_TSI_FEA_XX
765,1010_TAI_DIS_XX
7341,1090_DFA_FEA_XX
505,1007_IEO_DIS_LO
5118,1063_ITH_NEU_XX
3790,1047_TAI_SAD_XX
6923,1085_ITH_SAD_XX
5545,1068_ITS_DIS_XX
5331,1066_TIE_ANG_XX
499,1007_IEO_ANG_LO
5362,1066_IWL_FEA_XX
3680,1046_IEO_ANG_MD
3749,1046_WSI_HAP_XX
3375,1042_IWW_ANG_XX
5804,1072_IEO_NEU_XX
4904,1061_IEO_HAP_MD
2799,1035_IWW_HAP_XX
6681,1082_DFA_NEU_XX
941,1012_IWL_DIS_XX
4455,1055_MTI_DIS_XX
2199,1028_IEO_HAP_HI
4123,1051_MTI_HAP_XX
1848,1023_DFA_FEA_XX
4869,1060_IWL_ANG_XX
1203,1015_ITS_ANG_XX
5323,1066_IEO_FEA_MD
6018,1074_IWL_FEA_XX
5985,1074_TIE_HAP_XX
4476,1055_ITS_SAD_XX
3862,1048_IOM_FEA_XX
651,1009_IEO_HAP_LO
3341,1041_WSI_ANG_XX
3472,1043_IWL_NEU_XX
2061,1026_IWW_HAP_XX
526,1007_TAI_NEU_XX
4903,1061_IEO_HAP_LO
4671,1058_IEO_DIS_HI
4330,1054_IEO_HAP_MD
5580,1069_IOM_NEU_XX
4668,1058_IEO_FEA_HI
2385,1030_IOM_ANG_XX
181,1003_TIE_HAP_XX
3955,1049_TAI_ANG_XX
4429,1055_TIE_ANG_XX
3024,1038_IEO_ANG_MD
1263,1016_MTI_DIS_XX
978,1013_IEO_SAD_HI
7136,1088_TIE_DIS_XX
788,1010_DFA_FEA_XX
6335,1078_MTI_NEU_XX
5652,1070_IEO_FEA_HI
830,1011_IOM_NEU_XX
2514,1031_TSI_SAD_XX
1369,1017_ITS_DIS_XX
4074,1050_TSI_FEA_XX
5019,1062_TAI_HAP_XX
2415,1030_ITH_ANG_XX
5771,1071_IWL_ANG_XX
7,1001_IEO_SAD_HI
1561,1020_TIE_DIS_XX
1990,1025_MTI_NEU_XX
6824,1084_TAI_ANG_XX
461,1006_IWL_DIS_XX
7185,1088_TSI_NEU_XX
2803,1035_IWW_DIS_XX
5232,1065_IEO_HAP_MD
1046,1013_TSI_FEA_XX
503,1007_IEO_FEA_MD
1756,1022_ITH_NEU_XX
7352,1090_TSI_ANG_XX
1193,1015_ITH_DIS_XX
24,1001_IOM_HAP_XX
1559,1020_TIE_ANG_XX
6536,1080_WSI_HAP_XX
5424,1067_IWW_SAD_XX
4856,1060_TAI_SAD_XX
3918,1049_IEO_NEU_XX
6477,1080_TIE_SAD_XX
4861,1060_MTI_HAP_XX
7018,1086_ITS_ANG_XX
985,1013_IEO_DIS_LO
5262,1065_IWW_FEA_XX
6650,1082_IOM_DIS_XX
1332,1017_IWW_FEA_XX
5926,1073_MTI_NEU_XX
226,1003_DFA_FEA_XX
3755,1047_IEO_HAP_LO
6195,1076_DFA_DIS_XX
568,1007_WSI_NEU_XX
3686,1046_IEO_DIS_MD
4799,1059_DFA_ANG_XX
6545,1081_IEO_SAD_LO
2665,1033_DFA_HAP_XX
5579,1069_TIE_DIS_XX
2097,1026_ITS_HAP_XX
153,1002_TSI_HAP_XX
5874,1072_TSI_NEU_XX
2197,1028_IEO_HAP_LO
6603,1081_DFA_FEA_XX
6950,1085_WSI_DIS_XX
1916,1024_IWL_SAD_XX
2511,1031_ITS_DIS_XX
4682,1058_IOM_FEA_XX
6305,1078_IEO_FEA_LO
778,1010_ITH_NEU_XX
6364,1078_ITS_DIS_XX
2625,1033_TIE_ANG_XX
5701,1070_DFA_ANG_XX
4161,1051_WSI_ANG_XX
4946,1061_MTI_FEA_XX
5777,1071_ITH_ANG_XX
5594,1069_TAI_SAD_XX
7045,1087_IEO_FEA_HI
6494,1080_TAI_HAP_XX
4953,1061_IWL_DIS_XX
2677,1033_TSI_HAP_XX
4540,1056_IWL_SAD_XX
5942,1073_ITH_FEA_XX
804,1010_WSI_SAD_XX
513,1007_TIE_DIS_XX
5742,1071_TIE_FEA_XX
4135,1051_ITH_HAP_XX
6780,1083_TSI_DIS_XX
1988,1025_TAI_FEA_XX
5632,1069_TSI_FEA_XX
6577,1081_TAI_SAD_XX
3066,1038_IWL_FEA_XX
6262,1077_IWL_ANG_XX
835,1011_IOM_DIS_XX
17,1001_TIE_NEU_XX
2301,1029_IOM_HAP_XX
4720,1058_ITS_NEU_XX
7404,1091_MTI_ANG_XX
7089,1087_ITH_FEA_XX
2940,1037_IEO_SAD_HI
6827,1084_MTI_NEU_XX
1968,1025_TIE_SAD_XX
2787,1035_TIE_HAP_XX
2186,1027_TSI_SAD_XX
5759,1071_TAI_ANG_XX
3626,1045_TAI_SAD_XX
6856,1084_ITS_DIS_XX
5081,1063_IEO_DIS_HI
6759,1083_ITH_SAD_XX
7115,1088_IEO_NEU_XX
7296,1090_TIE_HAP_XX
2519,1031_WSI_HAP_XX
5304,1065_TSI_FEA_XX
6453,1079_WSI_NEU_XX
5906,1073_TIE_FEA_XX
7204,1089_IEO_ANG_LO
354,1005_IOM_FEA_XX
1542,1020_IEO_HAP_MD
3965,1049_IWL_HAP_XX
6706,1083_IEO_HAP_LO
890,1012_IEO_NEU_XX
3729,1046_ITH_DIS_XX
1591,1020_IWL_DIS_XX
999,1013_IOM_DIS_XX
2090,1026_DFA_NEU_XX
1001,1013_IWW_HAP_XX
4863,1060_MTI_ANG_XX
5795,1071_TSI_ANG_XX
7414,1091_ITH_HAP_XX
1010,1013_TAI_FEA_XX
257,1004_IEO_FEA_MD
6467,1080_IEO_ANG_MD
7426,1091_ITS_HAP_XX
7151,1088_TAI_SAD_XX
4539,1056_IWL_HAP_XX
2229,1028_IWW_DIS_XX
4763,1059_IOM_ANG_XX
7180,1088_ITS_HAP_XX
6210,1076_WSI_ANG_XX
5427,1067_IWW_DIS_XX
983,1013_IEO_FEA_MD
4365,1054_TAI_ANG_XX
4955,1061_ITH_HAP_XX
1277,1016_DFA_HAP_XX
5462,1067_ITS_FEA_XX
7101,1087_ITS_FEA_XX
20,1001_TIE_ANG_XX
5174,1064_IOM_FEA_XX
159,1002_WSI_HAP_XX
4736,1058_WSI_FEA_XX
1220,1016_IEO_HAP_MD
475,1006_ITS_HAP_XX
5187,1064_TAI_DIS_XX
2056,1026_IOM_SAD_XX
1568,1020_IWW_NEU_XX
2115,1027_IEO_HAP_LO
1945,1024_WSI_HAP_XX
995,1013_IOM_HAP_XX
2708,1034_TIE_FEA_XX
4790,1059_ITH_NEU_XX
4794,1059_ITH_FEA_XX
4461,1055_IWL_DIS_XX
6588,1081_IWL_HAP_XX
3155,1039_ITH_DIS_XX
369,1005_MTI_HAP_XX
2855,1036_IEO_HAP_HI
4033,1050_IWW_DIS_XX
70,1001_ITS_DIS_XX
5848,1072_MTI_FEA_XX
6355,1078_DFA_SAD_XX
5992,1074_IOM_SAD_XX
737,1010_IEO_FEA_MD
5539,1068_DFA_DIS_XX
5761,1071_TAI_DIS_XX
6561,1081_TIE_FEA_XX
3312,1041_IWL_FEA_XX
5637,1069_WSI_ANG_XX
6947,1085_WSI_SAD_XX
1304,1017_IEO_SAD_LO
7113,1087_WSI_FEA_XX
5308,1065_WSI_SAD_XX
3914,1048_WSI_SAD_XX
2366,1030_IEO_SAD_HI
4063,1050_DFA_DIS_XX
871,1011_DFA_DIS_XX
4648,1057_TSI_FEA_XX
3869,1048_IWW_DIS_XX
7311,1090_IWW_FEA_XX
4531,1056_TAI_DIS_XX
1844,1023_DFA_NEU_XX
3540,1044_IWW_FEA_XX
881,1011_TSI_ANG_XX
5773,1071_IWL_DIS_XX
1229,1016_IEO_FEA_MD
99,1002_TIE_HAP_XX
7431,1091_TSI_NEU_XX
2658,1033_ITH_NEU_XX
4792,1059_ITH_SAD_XX
1262,1016_MTI_FEA_XX
2729,1034_MTI_HAP_XX
626,1008_ITH_NEU_XX
7238,1089_MTI_HAP_XX
7237,1089_MTI_NEU_XX
5565,1069_IEO_ANG_LO
3217,1040_TAI_ANG_XX
3518,1044_IEO_FEA_LO
4382,1054_ITH_SAD_XX
4976,1061_TSI_FEA_XX
6422,1079_MTI_DIS_XX
6010,1074_MTI_SAD_XX
714,1009_TSI_NEU_XX
4251,1053_IEO_SAD_MD
6076,1075_IOM_FEA_XX
4378,1054_IWL_FEA_XX
966,1012_WSI_NEU_XX
7301,1090_IOM_NEU_XX
2638,1033_IWW_FEA_XX
4430,1055_TIE_FEA_XX
1677,1021_ITH_ANG_XX
509,1007_TIE_HAP_XX
2552,1032_IWW_NEU_XX
4756,1059_TIE_SAD_XX
252,1004_IEO_SAD_HI
4312,1053_ITS_SAD_XX
6190,1076_DFA_NEU_XX
3489,1043_DFA_DIS_XX
1875,1024_IEO_ANG_LO
6788,1084_IEO_HAP_LO
1673,1021_IWL_DIS_XX
5127,1063_DFA_ANG_XX
2459,1031_TIE_HAP_XX
1224,1016_IEO_SAD_HI
1795,1023_IEO_ANG_HI
4718,1058_DFA_FEA_XX
3441,1043_IEO_DIS_HI
393,1005_ITS_HAP_XX
2715,1034_IOM_DIS_XX
7368,1091_IEO_ANG_LO
975,1013_IEO_HAP_HI
2001,1025_IWL_DIS_XX
204,1003_MTI_NEU_XX
6487,1080_IWW_NEU_XX
3582,1044_TSI_FEA_XX
2797,1035_IOM_DIS_XX
7042,1087_IEO_ANG_HI
1259,1016_MTI_HAP_XX
3069,1038_ITH_HAP_XX
4706,1058_IWL_FEA_XX
5611,1069_ITH_HAP_XX
5316,1066_IEO_SAD_LO
3659,1045_ITS_DIS_XX
6667,1082_MTI_FEA_XX
4324,1053_WSI_SAD_XX
5288,1065_DFA_NEU_XX
3647,1045_ITH_DIS_XX
7023,1086_TSI_SAD_XX
2251,1028_ITH_ANG_XX
217,1003_ITH_HAP_XX
7017,1086_ITS_SAD_XX
3608,1045_TIE_SAD_XX
4385,1054_ITH_DIS_XX
5404,1067_IEO_FEA_LO
5435,1067_MTI_HAP_XX
1759,1022_ITH_ANG_XX
1315,1017_IEO_DIS_HI
1400,1018_TIE_SAD_XX
6790,1084_IEO_HAP_HI
1906,1024_TAI_FEA_XX
54,1001_ITH_HAP_XX
4308,1053_DFA_FEA_XX
1330,1017_IWW_SAD_XX
5070,1063_IEO_SAD_LO
2612,1033_IEO_SAD_HI
329,1005_IEO_HAP_LO
1694,1021_TSI_SAD_XX
6075,1075_IOM_ANG_XX
7370,1091_IEO_ANG_HI
3295,1041_IWW_DIS_XX
5167,1064_TIE_ANG_XX
5627,1069_ITS_DIS_XX
4754,1059_TIE_NEU_XX
688,1009_TAI_FEA_XX
4131,1051_IWL_ANG_XX
6109,1075_DFA_HAP_XX
786,1010_DFA_SAD_XX
663,1009_IEO_DIS_LO
1212,1015_WSI_NEU_XX
3482,1043_ITH_FEA_XX
2765,1034_WSI_HAP_XX
2167,1027_ITH_HAP_XX
2533,1032_IEO_ANG_HI
2009,1025_DFA_HAP_XX
2562,1032_TAI_FEA_XX
742,1010_TIE_NEU_XX
943,1012_ITH_HAP_XX
4950,1061_IWL_SAD_XX
7331,1090_ITH_NEU_XX
4836,1060_TIE_NEU_XX
1174,1015_TAI_FEA_XX
2965,1037_IWW_ANG_XX
1329,1017_IWW_HAP_XX
2973,1037_TAI_DIS_XX
74,1001_TSI_ANG_XX
5775,1071_ITH_HAP_XX
811,1011_IEO_HAP_HI
1439,1018_ITH_DIS_XX
5464,1067_TSI_NEU_XX
404,1005_WSI_NEU_XX
3380,1042_TAI_SAD_XX
101,1002_TIE_ANG_XX
1453,1018_TSI_HAP_XX
3842,1048_IEO_SAD_HI
2504,1031_DFA_FEA_XX
4113,1051_IWW_ANG_XX
7439,1091_WSI_SAD_XX
3017,1038_IEO_HAP_LO
4054,1050_ITH_SAD_XX
5979,1074_IEO_FEA_MD
704,1009_DFA_SAD_XX
3936,1049_TIE_SAD_XX
6324,1078_IWW_HAP_XX
6150,1076_TIE_SAD_XX
6001,1074_IWW_DIS_XX
1981,1025_IWW_ANG_XX
647,1008_TSI_ANG_XX
4936,1061_TAI_NEU_XX
308,1004_DFA_FEA_XX
6566,1081_IOM_ANG_XX
5083,1063_TIE_HAP_XX
6647,1082_IOM_SAD_XX
1493,1019_IWW_HAP_XX
3771,1047_TIE_HAP_XX
6627,1082_IEO_SAD_LO
1090,1014_TAI_SAD_XX
7337,1090_DFA_NEU_XX
5045,1062_DFA_ANG_XX
3861,1048_IOM_ANG_XX
312,1004_ITS_SAD_XX
5365,1066_ITH_HAP_XX
2987,1037_ITH_HAP_XX
3978,1049_DFA_SAD_XX
3584,1044_WSI_NEU_XX
2684,1033_WSI_SAD_XX
2932,1036_WSI_FEA_XX
5114,1063_IWL_SAD_XX
7306,1090_IOM_DIS_XX
6084,1075_TAI_NEU_XX
3431,1043_IEO_SAD_MD
2114,1027_IEO_NEU_XX
5281,1065_IWL_DIS_XX
401,1005_TSI_ANG_XX
2408,1030_IWL_SAD_XX
5426,1067_IWW_FEA_XX
3497,1043_TSI_HAP_XX
6887,1085_TIE_SAD_XX
3252,1040_TSI_SAD_XX
1598,1020_DFA_NEU_XX
2433,1030_TSI_ANG_XX
3474,1043_IWL_SAD_XX
7318,1090_TAI_DIS_XX
5715,1070_TSI_DIS_XX
5189,1064_MTI_HAP_XX
7162,1088_IWL_HAP_XX
6700,1082_WSI_HAP_XX
3966,1049_IWL_SAD_XX
5950,1073_ITS_NEU_XX
6912,1085_MTI_ANG_XX
4286,1053_MTI_NEU_XX
986,1013_IEO_DIS_MD
6518,1080_DFA_HAP_XX
1879,1024_IEO_FEA_MD
4491,1055_WSI_DIS_XX
5723,1071_IEO_HAP_LO
2964,1037_IWW_SAD_XX
1715,1022_IEO_FEA_MD
2503,1031_DFA_ANG_XX
637,1008_DFA_DIS_XX
2499,1031_ITH_DIS_XX
5534,1068_DFA_NEU_XX
1640,1021_TIE_SAD_XX
367,1005_TAI_DIS_XX
5689,1070_IWL_ANG_XX
6288,1077_TSI_DIS_XX
1817,1023_IWW_ANG_XX
5533,1068_ITH_DIS_XX
6927,1085_DFA_NEU_XX
7239,1089_MTI_SAD_XX
302,1004_ITH_FEA_XX
4085,1051_IEO_HAP_HI
4367,1054_TAI_DIS_XX
3563,1044_ITH_ANG_XX
6969,1086_TIE_SAD_XX
288,1004_MTI_SAD_XX
1658,1021_TAI_SAD_XX
769,1010_MTI_ANG_XX
265,1004_TIE_ANG_XX
1688,1021_ITS_SAD_XX
4576,1057_IEO_HAP_MD
5693,1070_ITH_HAP_XX
6842,1084_ITH_ANG_XX
6257,1077_MTI_FEA_XX
417,1006_IEO_ANG_LO
6635,1082_IEO_FEA_HI
2844,1035_TSI_FEA_XX
3008,1037_TSI_FEA_XX
4795,1059_ITH_DIS_XX
542,1007_IWL_FEA_XX
7099,1087_ITS_SAD_XX
3878,1048_MTI_SAD_XX
2921,1036_ITS_DIS_XX
4102,1051_TIE_FEA_XX
3519,1044_IEO_FEA_MD
6652,1082_IWW_HAP_XX
7095,1087_DFA_FEA_XX
7072,1087_TAI_DIS_XX
494,1007_IEO_HAP_MD
3481,1043_ITH_ANG_XX
7284,1090_IEO_SAD_MD
861,1011_ITH_HAP_XX
3564,1044_ITH_FEA_XX
4879,1060_DFA_HAP_XX
1154,1015_TIE_SAD_XX
66,1001_ITS_HAP_XX
5562,1069_IEO_SAD_LO
7076,1087_MTI_ANG_XX
4998,1062_IEO_DIS_MD
709,1009_ITS_HAP_XX
7211,1089_IEO_DIS_MD
6332,1078_TAI_ANG_XX
5411,1067_TIE_HAP_XX
4292,1053_IWL_NEU_XX
3463,1043_TAI_ANG_XX
6055,1075_IEO_SAD_MD
1517,1019_DFA_HAP_XX
2823,1035_ITH_HAP_XX
2980,1037_IWL_NEU_XX
3558,1044_IWL_FEA_XX
6542,1081_IEO_HAP_LO
1192,1015_ITH_FEA_XX
3054,1038_TAI_FEA_XX
7190,1088_TSI_DIS_XX
5902,1073_TIE_NEU_XX
4839,1060_TIE_ANG_XX
3816,1047_DFA_FEA_XX
3487,1043_DFA_ANG_XX
3459,1043_IWW_DIS_XX
6900,1085_IWW_ANG_XX
5279,1065_IWL_ANG_XX
2520,1031_WSI_SAD_XX
5523,1068_IWL_HAP_XX
4831,1060_IEO_FEA_MD
4636,1057_DFA_FEA_XX
3289,1041_IOM_DIS_XX
2609,1033_IEO_HAP_HI
3404,1042_DFA_SAD_XX
7090,1087_ITH_DIS_XX
4241,1052_WSI_HAP_XX
1825,1023_TAI_DIS_XX
5744,1071_IOM_NEU_XX
5824,1072_TIE_FEA_XX
2648,1033_MTI_SAD_XX
2106,1026_TSI_FEA_XX
5349,1066_TAI_ANG_XX
1189,1015_ITH_HAP_XX
3200,1040_TIE_FEA_XX
6845,1084_DFA_NEU_XX
687,1009_TAI_ANG_XX
6825,1084_TAI_FEA_XX
421,1006_IEO_FEA_MD
2163,1027_IWL_ANG_XX
2760,1034_TSI_SAD_XX
4611,1057_TAI_ANG_XX
1377,1017_WSI_HAP_XX
4685,1058_IWW_HAP_XX
6613,1081_TSI_SAD_XX
415,1006_IEO_SAD_MD
1987,1025_TAI_ANG_XX
5977,1074_IEO_ANG_HI
1821,1023_TAI_HAP_XX
5968,1074_IEO_NEU_XX
2164,1027_IWL_FEA_XX
2014,1025_ITS_NEU_XX
6576,1081_TAI_HAP_XX
64,1001_DFA_DIS_XX
4336,1054_IEO_ANG_MD
6693,1082_TSI_NEU_XX
6869,1085_IEO_NEU_XX
3856,1048_TIE_FEA_XX
1822,1023_TAI_SAD_XX
2927,1036_TSI_DIS_XX
4964,1061_DFA_FEA_XX
4752,1059_IEO_DIS_MD
4398,1054_TSI_NEU_XX
5237,1065_IEO_ANG_LO
7376,1091_IEO_DIS_HI
3070,1038_ITH_SAD_XX
5951,1073_ITS_HAP_XX
7334,1090_ITH_ANG_XX
3499,1043_TSI_ANG_XX
3912,1048_WSI_NEU_XX
751,1010_IOM_ANG_XX
1339,1017_TAI_DIS_XX
7421,1091_DFA_SAD_XX
1466,1019_IEO_HAP_MD
840,1011_IWW_FEA_XX
5491,1068_IEO_DIS_HI
7325,1090_IWL_NEU_XX
4663,1058_IEO_ANG_LO
4067,1050_ITS_ANG_XX
5350,1066_TAI_FEA_XX
2712,1034_IOM_SAD_XX
2437,1030_WSI_HAP_XX
844,1011_TAI_SAD_XX
3002,1037_ITS_FEA_XX
2449,1031_IEO_ANG_LO
2309,1029_IWW_ANG_XX
7122,1088_IEO_ANG_LO
2786,1035_TIE_NEU_XX
866,1011_DFA_NEU_XX
4958,1061_ITH_FEA_XX
5144,1063_WSI_SAD_XX
4436,1055_IOM_FEA_XX
5782,1071_DFA_SAD_XX
4789,1059_IWL_DIS_XX
6519,1080_DFA_SAD_XX
782,1010_ITH_FEA_XX
408,1005_WSI_FEA_XX
4407,1054_WSI_ANG_XX
3825,1047_TSI_HAP_XX
5129,1063_DFA_DIS_XX
2833,1035_DFA_DIS_XX
2138,1027_IOM_SAD_XX
2737,1034_IWL_ANG_XX
7330,1090_IWL_DIS_XX
3313,1041_IWL_DIS_XX
5602,1069_MTI_FEA_XX
3063,1038_IWL_HAP_XX
6366,1078_TSI_HAP_XX
5489,1068_IEO_DIS_LO
5551,1068_TSI_DIS_XX
516,1007_IOM_SAD_XX
4167,1052_IEO_HAP_HI
7203,1089_IEO_SAD_HI
2982,1037_IWL_SAD_XX
7374,1091_IEO_DIS_LO
716,1009_TSI_SAD_XX
2703,1034_IEO_DIS_HI
1838,1023_ITH_NEU_XX
4276,1053_IWW_SAD_XX
5102,1063_TAI_SAD_XX
847,1011_TAI_DIS_XX
6,1001_IEO_SAD_MD
3859,1048_IOM_HAP_XX
767,1010_MTI_HAP_XX
4764,1059_IOM_FEA_XX
5031,1062_IWL_HAP_XX
6231,1077_TIE_SAD_XX
3795,1047_MTI_HAP_XX
5515,1068_TAI_DIS_XX
496,1007_IEO_SAD_LO
923,1012_IWW_DIS_XX
4833,1060_IEO_DIS_LO
2140,1027_IOM_FEA_XX
1670,1021_IWL_SAD_XX
433,1006_IOM_HAP_XX
6134,1076_IEO_HAP_MD
5554,1068_WSI_SAD_XX
1123,1014_ITS_DIS_XX
1462,1018_WSI_FEA_XX
1628,1021_IEO_SAD_HI
2498,1031_ITH_FEA_XX
6427,1079_IWL_FEA_XX
1665,1021_MTI_ANG_XX
5408,1067_IEO_DIS_MD
4601,1057_IOM_DIS_XX
2316,1029_TAI_FEA_XX
4109,1051_IOM_DIS_XX
2542,1032_TIE_SAD_XX
816,1011_IEO_ANG_MD
1503,1019_TAI_DIS_XX
2223,1028_IOM_DIS_XX
6125,1075_TSI_DIS_XX
6793,1084_IEO_SAD_HI
7256,1089_DFA_HAP_XX
